Text,Emotion,Confidence
I am happy,joy,96.57
I am sad,sadness,98.61
I got selected for my dream company today,joy,93.31
I got selected for my dream company today,joy,93.31
I lost my document yesterday,sadness,85.02
She exercises every morning.,neutral,86.11
My school starts at 8:00.,fear,82.66
We always eat dinner together.,joy,52.94
I don't want anything to drink.,disgust,52.26
They take the bus to work.,neutral,78.61
This little black dress isn’t expensive,neutral,73.98
His dog barks loudly.,anger,63.03
His dog barks loudly.,anger,63.03
I need to do my homework tonight.,sadness,58.63
My friend and I didn’t buy anything on our trip.,anger,49.59
They will go on vacation next month.,joy,45.34
"Our flight back to London from Spain was cancelled, so we had to stay an extra night.",sadness,95.5
I go to my swimming lessons every Wednesday afternoon.,joy,66.57
They worked with a travel agent to plan their vacation.,neutral,62.5
They worked with a travel agent to plan their vacation.,neutral,62.5
They worked with a travel agent to plan their vacation.,neutral,62.5
"Hello, I am your AI assistant.",neutral,83.56
"Hello, I am your AI assistant.",neutral,83.56
"Hello, I am your AI assistant.",neutral,83.56
"Hello, I am your AI assistant.",neutral,83.56
"Hello, I am your AI assistant.",neutral,83.56
"Hello, I am your AI assistant.",neutral,83.56
"If these things aren't true, don't be afraid to find a new agent.",fear,92.24
i am very happy today,joy,99.17
I miss u,sadness,98.26
I am happy,joy,96.57
I don't know,surprise,77.13
I am very happy,joy,97.34
 I am sad,sadness,98.59
 I am sad,sadness,98.59
 I am happy,joy,96.87
"Hello, my name is Agitya.",neutral,90.7
"Hello, my name is Hari Harasubhani.",neutral,90.25
"Hello, my name is Hari Harasubhani.",neutral,90.25
"Hi, hello, how are you?",neutral,63.54
"Hi, hello, how are you?",neutral,63.54
"Hi, hello, how are you?",neutral,63.54
"Hi, hello, how are you?",neutral,63.54
I am very happy today because I completed my AI project successfully.,joy,98.99
I am feeling stressed about placements.,anger,96.76
I hate u,anger,85.04
I am worried about placements.,fear,98.7
I got selected for an internship today.,joy,98.37
I am disappointed with my exam results.,sadness,97.3
I am worried about my placement interviews.,fear,98.95
I am frustrated because my code keeps failing.,anger,97.21
I just found out I won a competition.,joy,53.04
On the fan,neutral,74.47
I love to eat Chocolates,joy,98.76
"I need rest, i am very tired",sadness,96.45
I like to read books ,joy,77.67
அதை கேட்டு மகிழ்ச்சி.,neutral,44.71
"சரி, சரி, சரி.",neutral,37.08
எனக்கு உன்னைப் பிடிக்க வில்லை.,disgust,79.15
"Hello, how are you?",neutral,64.52
 I secured first price in hackathon,joy,82.5
 I secured first price in hackathon,joy,82.5
எனக்கு இன்று மிகவும் மகிழ்ச்சியான நாள்!,neutral,35.01
நான் மிகவும் மகிழ்ச்சியாக இருக்கிறேன்,joy,97.34
I am very happy today,joy,97.75
நான் இன்று மிகவும் மகிழ்ச்சியாக இருக்கிறேன்,joy,97.75
सफलता की इस खबर ने मेरी आंखों में खुशी के आंसू ला दिए।,joy,98.75
ఈ రోజు నాకు చాలా సంతోషంగా ఉంది,joy,97.75
ఇది నేను అస్సలు ఊహించలేదు!,surprise,96.08
I am over the moon because I just got the job offer!,surprise,48.27
I am over the moon because I just got the job offer!,surprise,48.27
I am over the moon because I just got the job offer!,surprise,48.27
I am over the moon because I just got the job offer!,surprise,48.27
I am over the moon because I just got the job offer!,surprise,48.27
అమ్మ వంట అంటే నాకు చాలా ఇష్టం,joy,97.87
అమ్మ వంట అంటే నాకు చాలా ఇష్టం,joy,97.87
అమ్మ వంట అంటే నాకు చాలా ఇష్టం,joy,97.87
అమ్మ వంట అంటే నాకు చాలా ఇష్టం,joy,97.87
அவரைப் பார்க்கும்போது எனக்கு ரொம்ப வருத்தமாக இருக்கு,sadness,98.56
அவரைப் பார்க்கும்போது எனக்கு ரொம்ப வருத்தமாக இருக்கு,sadness,98.56
இனக்கு ஒன்றை மிகவும் பிடித்துக்கொண்டு இருக்கிறது.,disgust,55.95
I am happy.,joy,97.81
நான் மகிழ்ச்சியாது இருக்கிறேன்,sadness,99.16
நான் மகிழ்ச்சியாது இருக்கிறேன்,sadness,99.16
நிச்சியாக இருக்கிறேன்,neutral,50.88
நான் மகிழ்ச்சியாக இருந்துகொள்கிறேன்.,joy,97.81
நான் அச்சிரியுப்படுகிறேன்.,surprise,96.21
में सद्मी मीदु,neutral,47.43
में सद मी मी हूँ  में सद मी मी हूँ,sadness,98.06
मैं कुश मुं,joy,96.57
"நான் மிகவும் மகிழ்ச்சியாக இருக்கிறேன்
",joy,97.34
